TIME	OFI	DELTA_MID
11:15:20	-585.0	-6
11:15:30	80.0	1
11:15:40	195.0	1
11:15:50	190.0	0
11:16:00	135.0	1
11:16:10	-135.0	-1
11:16:20	325.0	2
11:16:30	20.0	0
11:16:40	-505.0	-4
11:16:50	35.0	0
11:17:00	100.0	0
11:17:10	60.0	0
11:17:20	185.0	1
11:17:30	-100.0	-1
11:17:40	-65.0	0
11:17:50	300.0	2
11:18:00	680.0	4
11:18:10	90.0	0
11:18:20	-290.0	-2
11:18:30	-100.0	0
11:18:40	-330.0	-2
11:18:50	190.0	1
11:19:00	-215.0	-2
11:19:10	-75.0	0
11:19:20	-190.0	-1
11:19:30	355.0	2
11:19:40	255.0	2
11:19:50	0.0	0
11:20:00	-105.0	-1
11:20:10	-305.0	-2
11:20:20	-80.0	0
11:20:30	530.0	3
11:20:40	-70.0	0
11:20:50	90.0	0
11:21:00	0.0	0
11:21:10	-430.0	-2
11:21:20	-265.0	-1
11:21:30	-330.0	-2
11:21:40	-60.0	0
11:21:50	205.0	1
11:22:00	5.0	0
11:22:10	-130.0	0
11:22:20	15.0	0
11:22:30	-75.0	0
11:22:40	-95.0	-1
11:22:50	-185.0	-1
11:23:00	-100.0	0
11:23:10	95.0	0
11:23:20	180.0	1
11:23:30	-50.0	0
11:23:40	165.0	1
11:23:50	535.0	2
11:24:00	-110.0	-1
11:24:10	-180.0	-1
11:24:20	-180.0	-1
11:24:30	120.0	1
11:24:40	230.0	2
11:24:50	-175.0	-2
11:25:00	-285.0	-2
11:25:10	-175.0	-1
11:25:20	135.0	1
11:25:30	-105.0	-1
11:25:40	325.0	3
11:25:50	-135.0	-1
11:26:00	-90.0	-1
11:26:10	115.0	1
11:26:20	80.0	1
11:26:30	95.0	0
11:26:40	-75.0	-1
11:26:50	-35.0	0
11:27:00	155.0	1
11:27:10	140.0	0
11:27:20	-205.0	-1
11:27:30	90.0	0
11:27:40	-35.0	0
11:27:50	25.0	0
11:28:00	-35.0	0
11:28:10	125.0	0
11:28:20	15.0	0
11:28:30	-85.0	-1
11:28:40	-80.0	0
11:28:50	-30.0	0
11:29:00	-10.0	0
11:29:10	-50.0	0
11:29:20	40.0	0
11:29:30	205.0	2
11:29:40	-255.0	-3
11:29:50	95.0	1
11:30:00	-225.0	-2
11:30:10	-260.0	-1
11:30:20	-55.0	0
11:30:30	300.0	2
11:30:40	50.0	0
11:30:50	15.0	0
11:31:00	-20.0	0
11:31:10	-205.0	-2
11:31:20	160.0	1
11:31:30	-140.0	-1
11:31:40	-145.0	-1
11:31:50	-110.0	0
11:32:00	50.0	0
11:32:10	35.0	0
11:32:20	-125.0	-1
11:32:30	-40.0	0
11:32:40	-35.0	0
11:32:50	-30.0	0
11:33:00	100.0	0
11:33:10	-5.0	0
11:33:20	50.0	0
11:33:30	-165.0	0
11:33:40	40.0	0
11:33:50	-80.0	0
11:34:00	10.0	1
11:34:10	-50.0	0
11:34:20	-45.0	0
11:34:30	120.0	1
11:34:40	145.0	1
11:34:50	440.0	2
11:35:00	-85.0	0
11:35:10	-70.0	-1
11:35:20	-70.0	0
11:35:30	-10.0	0
11:35:40	-65.0	-1
11:35:50	10.0	0
11:36:00	75.0	0
11:36:10	-55.0	-1
11:36:20	205.0	2
11:36:30	25.0	0
11:36:40	145.0	1
11:36:50	-45.0	-1
11:37:00	60.0	1
11:37:10	230.0	1
11:37:20	55.0	0
11:37:30	75.0	1
11:37:40	90.0	-1
11:37:50	170.0	2
11:38:00	250.0	1
11:38:10	115.0	0
11:38:20	-15.0	0
11:38:30	240.0	1
11:38:40	155.0	0
11:38:50	-780.0	-3
11:39:00	810.0	3
11:39:10	-50.0	0
11:39:20	-215.0	-1
11:39:30	5.0	0
11:39:40	-815.0	-3
11:39:50	25.0	0
11:40:00	-155.0	-1
11:40:10	-20.0	0
11:40:20	75.0	1
11:40:30	-135.0	-1
11:40:40	130.0	1
11:40:50	190.0	2
11:41:00	-35.0	0
11:41:10	-60.0	0
11:41:20	-35.0	0
11:41:30	20.0	0
11:41:40	10.0	0
11:41:50	5.0	0
11:42:00	105.0	1
11:42:10	35.0	0
11:42:20	-45.0	0
11:42:30	120.0	1
11:42:40	405.0	2
11:42:50	-40.0	0
11:43:00	-255.0	-1
11:43:10	5.0	0
11:43:20	-140.0	0
11:43:30	-250.0	-1
11:43:40	-95.0	0
11:43:50	60.0	0
11:44:00	-60.0	0
11:44:10	35.0	1
11:44:20	-70.0	-1
11:44:30	-80.0	0
11:44:40	-75.0	-1
11:44:50	-135.0	-1
11:45:00	85.0	1
11:45:10	-810.0	-4
11:45:20	-80.0	-1
11:45:30	5.0	0
11:45:40	80.0	1
11:45:50	260.0	1
11:46:00	100.0	1
11:46:10	5.0	0
11:46:20	-145.0	-1
11:46:30	105.0	1
11:46:40	85.0	1
11:46:50	-15.0	0
11:47:00	195.0	1
11:47:10	75.0	1
11:47:20	35.0	0
11:47:30	225.0	2
11:47:40	20.0	0
11:47:50	55.0	0
11:48:00	-65.0	0
11:48:10	-285.0	-1
11:48:20	135.0	0
11:48:30	-250.0	-2
11:48:40	350.0	2
11:48:50	285.0	1
11:49:00	-50.0	0
11:49:10	-420.0	-3
11:49:20	310.0	3
11:49:30	75.0	1
11:49:40	-190.0	-2
11:49:50	125.0	1
11:50:00	175.0	1
11:50:10	175.0	1
11:50:20	130.0	1
11:50:30	-125.0	-1
11:50:40	-260.0	-2
11:50:50	230.0	1
11:51:00	-50.0	0
11:51:10	-135.0	-1
11:51:20	-110.0	-1
11:51:30	120.0	1
11:51:40	5.0	0
11:51:50	140.0	1
11:52:00	160.0	2
11:52:10	80.0	0
11:52:20	110.0	1
11:52:30	-110.0	-1
11:52:40	-75.0	0
11:52:50	-10.0	0
11:53:00	-85.0	-1
11:53:10	-245.0	-2
11:53:20	-185.0	-1
11:53:30	215.0	2
11:53:40	85.0	1
11:53:50	-640.0	-2
11:54:00	550.0	1
11:54:10	-55.0	-1
11:54:20	210.0	2
11:54:30	-245.0	-2
11:54:40	-165.0	-1
11:54:50	-275.0	-1
11:55:00	305.0	2
11:55:10	-110.0	-1
11:55:20	-130.0	-1
11:55:30	90.0	1
11:55:40	-5.0	0
11:55:50	200.0	1
11:56:00	-205.0	-2
11:56:10	-300.0	-2
11:56:20	-85.0	-1
11:56:30	-15.0	0
11:56:40	190.0	1
11:56:50	-120.0	-1
11:57:00	-355.0	-1
11:57:10	-55.0	-1
11:57:20	85.0	1
11:57:30	25.0	0
11:57:40	-155.0	-1
11:57:50	20.0	0
11:58:00	30.0	0
11:58:10	-5.0	0
11:58:20	450.0	3
11:58:30	-35.0	0
11:58:40	35.0	0
11:58:50	-80.0	0
11:59:00	130.0	1
11:59:10	25.0	0
11:59:20	360.0	3
11:59:30	165.0	1
11:59:40	180.0	1
11:59:50	55.0	0
12:00:00	5.0	0
12:00:10	-105.0	0
12:00:20	-155.0	-1
12:00:30	10.0	0
12:00:40	-55.0	0
12:00:50	-400.0	-2
12:01:00	-155.0	-1
12:01:10	75.0	1
12:01:20	-120.0	-1
